# Kick = [    1.000000000000e-03,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
         87.64371149      -3.05311332e-16     1.208017651311e-02    -1.695368290200e-10     1.368620772269e-10
         88.05712522      -5.82867088e-16     1.277641799034e-02    -1.811661931583e-10     1.324891307775e-10
         88.47053896      -4.99600361e-16     1.351198384016e-02    -1.932409787742e-10     9.339107265305e-11
         88.88395269       2.77555756e-17     1.419601721107e-02    -1.982094488540e-10     4.216094140475e-11
         89.29736642       0.00000000e+00     1.480066324557e-02    -2.375410979027e-10     2.575983870656e-11
         89.71078016       1.11022302e-16     1.532363326112e-02    -3.219402522348e-10     6.271605457187e-11
         90.12419389      -7.21644966e-16     1.587352475882e-02    -4.238178696880e-10     1.274762517767e-10
         90.53760762      -3.88578059e-16     1.659159537269e-02    -4.974118894552e-10     1.909183922066e-10
         90.95102136      -3.05311332e-16     1.734328461203e-02    -5.082090304143e-10     2.341669080863e-10
         91.36443509      -1.94289029e-16     1.793145452276e-02    -4.621032445584e-10     2.476419069808e-10
         91.77784882      -1.38777878e-16     1.844401841774e-02    -4.001985409730e-10     2.296940415647e-10
         92.19126256      -7.77156117e-16     1.897982992935e-02    -3.635802769963e-10     1.891091727657e-10
         92.60467629       3.60822483e-16     1.950606061864e-02    -3.726259301118e-10     1.556408335546e-10
         93.01809002      -1.94289029e-16     2.005290520229e-02    -4.231615058359e-10     1.717110897914e-10
         93.43150376      -1.94289029e-16     2.052945112843e-02    -4.940776676676e-10     2.368270024533e-10
         93.84491749      -1.66533454e-16     2.085289238053e-02    -5.556084481384e-10     2.833990819795e-10
         94.25833122      -2.77555756e-16     2.123438826441e-02    -5.874589703581e-10     2.582924985006e-10
         94.67174496       3.88578059e-16     2.174569429660e-02    -5.932863089697e-10     1.801967464132e-10
         95.08515869      -1.11022302e-16     2.227764377273e-02    -5.884133180700e-10     9.570255699032e-11
         95.49857243      -4.71844785e-16     2.275658742674e-02    -5.889999599162e-10     3.706102091883e-11
         95.91198616       0.00000000e+00     2.301115903937e-02    -6.193427992685e-10     3.616218435809e-11
         96.32539989      -5.55111512e-16     2.312910814732e-02    -6.933729146397e-10     1.002797844762e-10
         96.73881363      -5.82867088e-16     2.338592689305e-02    -7.902403176274e-10     1.921107717351e-10
         97.15222736      -4.99600361e-16     2.371149546236e-02    -8.749880819892e-10     2.700901724495e-10
         97.56564109       7.49400542e-16     2.398919470548e-02    -9.369118814107e-10     3.197682119094e-10
         97.97905483      -6.10622664e-16     2.422617502220e-02    -9.846070625485e-10     3.563775941018e-10
         98.39246856      -3.60822483e-16     2.442940418300e-02    -1.007127270469e-09     3.796549741253e-10
         98.80588229      -4.44089210e-16     2.473062691937e-02    -9.726890404238e-10     3.859881303470e-10
         99.21929603      -3.88578059e-16     2.508531309328e-02    -8.702505382985e-10     3.486264610331e-10
         99.63270976      -8.32667268e-16     2.522147079644e-02    -7.528564438530e-10     2.670907939262e-10
        100.04612349      -8.88178420e-16     2.514575312896e-02    -6.751235126501e-10     1.466271548622e-10
        100.45953723      -4.99600361e-16     2.507080167472e-02    -6.588596335177e-10     6.578027011983e-11
        100.87295096      -3.88578059e-16     2.512695577463e-02    -7.252372036248e-10     3.988809282873e-11
        101.28636469      -3.88578059e-16     2.533627302930e-02    -8.366374260049e-10     8.427836206693e-11
        101.69977843      -6.10622664e-16     2.550958011823e-02    -9.688903013227e-10     1.492437284867e-10
        102.11319216      -4.99600361e-16     2.548003285623e-02    -1.062006482755e-09     1.930038351361e-10
        102.52660589      -1.66533454e-16     2.534776873224e-02    -1.105237679155e-09     1.850644082424e-10
        102.94001963       1.94289029e-16     2.517926289346e-02    -1.100974866830e-09     1.583084774381e-10
        103.35343336      -5.27355937e-16     2.494104384476e-02    -1.077423039675e-09     1.589466336327e-10
        103.76684709      -6.66133815e-16     2.468979674396e-02    -1.047202768945e-09     1.848712294361e-10
        104.18026083      -8.04911693e-16     2.451871830255e-02    -1.018427564503e-09     2.109818986185e-10
        104.59367456      -5.55111512e-16     2.450297603350e-02    -9.999179262365e-10     2.229962881017e-10
        105.00708829      -1.66533454e-16     2.457344506069e-02    -9.873337702970e-10     2.430411427667e-10
        105.42050203      -5.55111512e-17     2.444737040613e-02    -9.795044775274e-10     3.038418405765e-10
        105.83391576      -8.60422844e-16     2.397816565230e-02    -9.792291422173e-10     4.062492564572e-10
        106.24732949      -1.38777878e-16     2.336569865018e-02    -9.817218149522e-10     5.137166247948e-10
        106.66074323      -2.77555756e-17     2.288036064530e-02    -9.768235109675e-10     5.710654171764e-10
        107.07415696       5.55111512e-17     2.263649637451e-02    -9.482317153697e-10     5.394662494496e-10
        107.48757069       1.66533454e-16     2.253001467823e-02    -8.898699555004e-10     4.319540281017e-10
        107.90098443      -3.60822483e-16     2.232005465698e-02    -8.381033644866e-10     3.116125135705e-10
        108.31439816       1.11022302e-16     2.193875882821e-02    -8.406044749165e-10     2.399525023122e-10
        108.72781190      -7.77156117e-16     2.150096731370e-02    -8.953047192506e-10     2.087006123475e-10
        109.14122563      -5.27355937e-16     2.103870826012e-02    -9.647038723415e-10     2.137148236159e-10
        109.55463936      -6.10622664e-16     2.049314267241e-02    -1.016319473024e-09     2.500812890105e-10
        109.96805310       2.77555756e-16     1.987510964781e-02    -1.043483077723e-09     3.078350907515e-10
        110.38146683      -1.11022302e-16     1.930108019228e-02    -1.039381025691e-09     3.493427769286e-10
        110.79488056      -2.77555756e-17     1.879393878395e-02    -9.665228617450e-10     3.717417484950e-10
        111.20829430      -8.32667268e-16     1.825729010702e-02    -8.730123290945e-10     3.717488539223e-10
        111.62170803       1.11022302e-16     1.762239649190e-02    -7.599676443704e-10     3.952154159492e-10
        112.03512176      -5.55111512e-16     1.689832468591e-02    -6.558602549944e-10     4.505995576665e-10
